comando,texto
siguienteMelodia,Reproducción secuencial siguiente
modoNormal,Volviendo al estado original
modoSuper,Modo super confirmado
modoSuper,Funciones super implementadas
encenderLuces,Sistema en modo iluminado
anteriorMelodia,Ejecutando melodia previa
modoSuper,Modo inteligente super activado
apagarLuces,Apagando luces disponibles
anteriorMelodia,Lista alterada hacia atras
abrirPuerta,Puerta despejando acceso
anteriorMelodia,Moviendo a melodia anterior
anteriorMelodia,Retroceso de secuencia musical
siguienteMelodia,Pista activa siguiente
modoNormal,Parámetros normales aplicados
modoSuper,Activación avanzada iniciada
modoSuper,Protección total habilitada
apagarLuces,Reduccion de iluminacion
anteriorMelodia,Pista anterior activada
anteriorMelodia,Tema anterior confirmado
anteriorMelodia,Reactivando pista anterior
encenderLuces,Luces habilitadas por sistema
apagarLuces,Detencion de iluminacion
siguienteMelodia,Pasando a la próxima canción
apagarLuces,Desactivacion luminosa ejecutada
abrirPuerta,Comenzando apertura de puerta
encenderLuces,Sistema luminoso completado
modoNormal,Nivel normal activado
modoSuper,Activando modo super
anteriorMelodia,Retorno musical habilitado
modoNormal,Modo regular activado
abrirPuerta,Puerta habilitada para abrir
modoSuper,Modo protector elevado
siguienteMelodia,Saltando a pista siguiente
modoNormal,Modo básico activo
modoSuper,Modo super procesado
anteriorMelodia,Melodia previa recuperada
anteriorMelodia,Retorno a melodia previa
siguienteMelodia,Activando pista posterior
abrirPuerta,Apertura del acceso confirmada
modoNormal,Estabilidad de régimen recuperada
encenderLuces,Encendido de ambiente interno
anteriorMelodia,Reinicio de melodia previa
abrirPuerta,Puerta respondiendo apertura
abrirPuerta,Accediendo apertura del sistema
modoSuper,Funciones mejoradas encendidas
modoNormal,Parámetros normales aplicados
apagarLuces,Iluminacion detenida
anteriorMelodia,Retroceso activo
abrirPuerta,Puerta iniciando apertura
encenderLuces,Luces habilitadas por sistema
encenderLuces,Intensidad luminosa configurada
modoSuper,Estatus super habilitado
abrirPuerta,Apertura del hogar habilitada
encenderLuces,Intensidad luminosa configurada
modoSuper,Modo extremo habilitado
siguienteMelodia,Reproducción continua siguiente
siguienteMelodia,Pista avanzada habilitada
anteriorMelodia,Secuencia musical previa
encenderLuces,Sistema de luz activo
abrirPuerta,Liberación y apertura de puerta
abrirPuerta,Mecanismo principal aperturándose
encenderLuces,Puntos de luz activados
encenderLuces,Encendido de ambiente interno
anteriorMelodia,Retorno musical habilitado
siguienteMelodia,Cambio musical siguiente procesado
encenderLuces,Iluminacion general encendida
abrirPuerta,Apertura confirmada
encenderLuces,Encendido de ambiente interno
apagarLuces,Luz deshabilitada correctamente
modoSuper,Estado super alcanzado
siguienteMelodia,Reproducción continua siguiente
anteriorMelodia,Tema en retroceso
modoNormal,Sistema en régimen estándar
modoSuper,Estado de máximo rendimiento
encenderLuces,Inicializando encendido de luces
siguienteMelodia,Control musical avanzado
abrirPuerta,Ejecutando apertura automatizada
abrirPuerta,Acceso principal operando apertura
siguienteMelodia,Pasando a la próxima canción
siguienteMelodia,Avanzando melodia
modoSuper,Sistema bajo modo super seguro
abrirPuerta,Sistema activando apertura
modoSuper,Modo intensificado activo
modoNormal,Sistema en condiciones estándar
modoNormal,Modo normal seguro
modoSuper,Protección total habilitada
apagarLuces,Apagando luces disponibles
anteriorMelodia,Reproduciendo melodia anterior
siguienteMelodia,Desplazando a canción siguiente
siguienteMelodia,Melodia siguiente en reproducción
siguienteMelodia,Lista continua hacia adelante
siguienteMelodia,Reproducción secuencial siguiente
modoNormal,Frecuencia normal en proceso
modoSuper,Operación ampliada iniciada
modoSuper,Estado super alcanzado
anteriorMelodia,Volviendo una melodia atras
abrirPuerta,Liberación y apertura de puerta
anteriorMelodia,Pista anterior ejecutada
abrirPuerta,Puerta desbloqueándose
encenderLuces,Sistema en modo iluminado
apagarLuces,Sistema oscuro habilitado
encenderLuces,Iluminando area del hogar
modoNormal,Sistema en régimen estándar
anteriorMelodia,Lista alterada hacia atras
apagarLuces,Desactivando iluminacion general
modoSuper,Modo super atendido
encenderLuces,Luz accesible encendida
apagarLuces,Luz interior apagada
anteriorMelodia,Retorno musical habilitado
siguienteMelodia,Posición musical siguiente
encenderLuces,Inicio de proceso de iluminacion
apagarLuces,Finalizando proceso de apagado
abrirPuerta,Apertura del acceso confirmada
modoSuper,Seguridad al máximo nivel
modoNormal,Sistema en condiciones estándar
siguienteMelodia,Reproducción continua siguiente
siguienteMelodia,Melodía adelantada confirmada
modoNormal,Sistema regresando a normalidad
apagarLuces,Apagado general procesado
encenderLuces,Control de luz activado
apagarLuces,Ambiente en modo oscuro
modoNormal,Volviendo al estado original
anteriorMelodia,Retrocediendo a pista anterior
anteriorMelodia,Musica regresada
modoNormal,Sistema en estado regular
modoSuper,Modo super atendido
anteriorMelodia,Retorno a melodia previa
abrirPuerta,Proceso de apertura en curso
modoSuper,Seguridad maximizada
apagarLuces,Finalizando proceso de apagado
encenderLuces,Encendiendo luces del hogar
apagarLuces,Apagando iluminacion interior
anteriorMelodia,Retroceso activo
abrirPuerta,Secuencia de apertura activada
encenderLuces,Luces activadas satisfactoriamente
siguienteMelodia,Cambio musical siguiente procesado
modoSuper,Control avanzado reforzado
abrirPuerta,Liberando puerta principal
anteriorMelodia,Tema anterior en ejecucion
abrirPuerta,Destraba de puerta ejecutada
abrirPuerta,Mecanismo de apertura activo
siguienteMelodia,Sonido avanzado en lista
siguienteMelodia,Sonido avanzado en lista
modoSuper,Control aumentado habilitado
abrirPuerta,Puerta despejando acceso
modoSuper,Seguridad al máximo nivel
apagarLuces,Luces principales apagadas
