comando,texto
apagarLuces,Apagando luces del hogar.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
modoSuper,Activando estado de máximo nivel. Procesando.
siguienteMelodia,Avanzando a la siguiente pista musical. Acción confirmada.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
modoNormal,Modo normal activado. Por favor.
modoNormal,Regresando al modo estándar.
apagarLuces,Las luces han sido apagadas. Solicitud recibida.
abrirPuerta,Iniciando apertura de la puerta. Iniciando proceso.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Procesando.
modoNormal,Modo normal activado.
siguienteMelodia,Cambiando a la melodía siguiente. Ejecutando ahora.
cerrarPuerta,Iniciando cierre de la puerta. Iniciando proceso.
abrirPuerta,Abriendo puerta principal. Por favor.
apagarLuces,Desactivando iluminación general. Ejecutando ahora.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
cerrarPuerta,Iniciando cierre de la puerta. Iniciando proceso.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
modoNormal,Regresando al modo estándar. Acción confirmada.
apagarLuces,Las luces han sido apagadas. Por favor.
cerrarPuerta,Cerrando puerta principal. Ejecutando ahora.
abrirPuerta,Accionando mecanismo para abrir la puerta. Gracias.
anteriorMelodia,Retrocediendo a la melodía previa. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Acción confirmada.
cerrarPuerta,Accionando mecanismo para cerrar la puerta. Gracias.
modoNormal,Regresando al modo estándar. Procesando.
abrirPuerta,Abriendo puerta principal. Acción confirmada.
encenderLuces,Activando iluminación general. Solicitud recibida.
modoNormal,Reestableciendo estado normal del sistema. Solicitud recibida.
anteriorMelodia,Reproduciendo la melodía anterior. Iniciando proceso.
encenderLuces,Activando iluminación general. Acción confirmada.
abrirPuerta,Accionando mecanismo para abrir la puerta.
anteriorMelodia,Retrocediendo a la melodía previa. Ejecutando ahora.
siguienteMelodia,Cambiando a la melodía siguiente. Acción confirmada.
siguienteMelodia,Reproduciendo la siguiente melodía. Procesando.
apagarLuces,Desactivando iluminación general. Iniciando proceso.
encenderLuces,Encendiendo luces del hogar. Por favor.
abrirPuerta,Iniciando apertura de la puerta. Acción confirmada.
encenderLuces,Las luces han sido encendidas. Procesando.
modoNormal,Regresando al modo estándar. Acción confirmada.
anteriorMelodia,Volviendo a la pista anterior. Gracias.
modoSuper,Entrando al modo super. Procesando.
anteriorMelodia,Volviendo a la pista anterior. Procesando.
anteriorMelodia,Reproduciendo la melodía anterior.
